Problem Number,Directions,Problem,Solution,Alternate Solution,Common Core Category
1,Rewrite each infinitely repeating decimal as a rational number (fraction).,0.551(35),54584/99000,,The Number System
2,Rewrite each infinitely repeating decimal as a rational number (fraction).,0.30(41),3011/9900,,The Number System
3,Rewrite each infinitely repeating decimal as a rational number (fraction).,35.1(39),34788/990,,The Number System
4,Rewrite each infinitely repeating decimal as a rational number (fraction).,5.7(4),517/90,,The Number System
5,Rewrite each infinitely repeating decimal as a rational number (fraction).,8.151(51),807000/99000,,The Number System
6,Rewrite each infinitely repeating decimal as a rational number (fraction).,5.545(9),49914/9000,,The Number System
7,Rewrite each infinitely repeating decimal as a rational number (fraction).,6.41(32),63491/9900,,The Number System
8,Rewrite each infinitely repeating decimal as a rational number (fraction).,3.28(9),2961/900,,The Number System
9,Rewrite each infinitely repeating decimal as a rational number (fraction).,0.5(31),526/990,,The Number System
10,Rewrite each infinitely repeating decimal as a rational number (fraction).,0.83(1),748/900,,The Number System
11,Determine if the number is rational (R) or irrational (I).,SQRT(81),Rational,R,The Number System
12,Determine if the number is rational (R) or irrational (I).,56.5(191),Rational,R,The Number System
13,Determine if the number is rational (R) or irrational (I).,SQRT(83),Irrational,I,The Number System
14,Determine if the number is rational (R) or irrational (I).,24π,Irrational,I,The Number System
15,Determine if the number is rational (R) or irrational (I).,90.790170......,Irrational,I,The Number System
16,Determine if the number is rational (R) or irrational (I).,60/52,Rational,R,The Number System
17,Determine if the number is rational (R) or irrational (I).,70.300722,Rational,R,The Number System
18,Determine if the number is rational (R) or irrational (I).,22,Rational,R,The Number System
19,Determine if the number is rational (R) or irrational (I).,14,Rational,R,The Number System
20,Determine if the number is rational (R) or irrational (I).,22/38,Rational,R,The Number System
21,Determine if the number is rational (R) or irrational (I).,23/24,Rational,R,The Number System
22,Determine if the number is rational (R) or irrational (I).,46.547415,Rational,R,The Number System
23,Determine if the number is rational (R) or irrational (I).,SQRT(64),Rational,R,The Number System
24,Determine if the number is rational (R) or irrational (I).,8/14,Rational,R,The Number System
25,Determine if the number is rational (R) or irrational (I).,SQRT(109),Irrational,I,The Number System
26,Determine if the number is rational (R) or irrational (I).,82.208701......,Irrational,I,The Number System
27,Determine if the number is rational (R) or irrational (I).,11.236(54),Rational,R,The Number System
28,Determine if the number is rational (R) or irrational (I).,SQRT(100),Rational,R,The Number System
29,Determine if the number is rational (R) or irrational (I).,55/51,Rational,R,The Number System
30,Determine if the number is rational (R) or irrational (I).,19.525305,Rational,R,The Number System
31,Decide which whole number the square root is closer to.,Is SQRT(75) closer to 8 or 9?,9,,The Number System
32,Decide which whole number the square root is closer to.,Is SQRT(7) closer to 2 or 3?,3,,The Number System
33,Decide which whole number the square root is closer to.,Is SQRT(65) closer to 8 or 9?,8,,The Number System
34,Decide which whole number the square root is closer to.,Is SQRT(92) closer to 9 or 10?,10,,The Number System
35,Decide which whole number the square root is closer to.,Is SQRT(93) closer to 9 or 10?,10,,The Number System
36,Decide which whole number the square root is closer to.,Is SQRT(3) closer to 1 or 2?,2,,The Number System
37,Decide which whole number the square root is closer to.,Is SQRT(86) closer to 9 or 10?,9,,The Number System
38,Decide which whole number the square root is closer to.,Is SQRT(22) closer to 4 or 5?,5,,The Number System
39,Decide which whole number the square root is closer to.,Is SQRT(88) closer to 9 or 10?,9,,The Number System
40,Decide which whole number the square root is closer to.,Is SQRT(21) closer to 4 or 5?,5,,The Number System
41,Decide which whole number the square root is closer to.,Is SQRT(66) closer to 8 or 9?,8,,The Number System
42,Decide which whole number the square root is closer to.,Is SQRT(97) closer to 9 or 10?,10,,The Number System
43,Decide which whole number the square root is closer to.,Is SQRT(34) closer to 5 or 6?,6,,The Number System
44,Decide which whole number the square root is closer to.,Is SQRT(99) closer to 9 or 10?,10,,The Number System
45,Decide which whole number the square root is closer to.,Is SQRT(20) closer to 4 or 5?,4,,The Number System
46,Decide which whole number the square root is closer to.,Is SQRT(63) closer to 7 or 8?,8,,The Number System
47,Decide which whole number the square root is closer to.,Is SQRT(89) closer to 9 or 10?,9,,The Number System
48,Decide which whole number the square root is closer to.,Is SQRT(33) closer to 5 or 6?,6,,The Number System
49,Decide which whole number the square root is closer to.,Is SQRT(52) closer to 7 or 8?,7,,The Number System
50,Decide which whole number the square root is closer to.,Is SQRT(70) closer to 8 or 9?,8,,The Number System
51,Determine which two consecutive whole numbers the square root lies between.,SQRT(65),8 and 9,"8, 9",The Number System
52,Determine which two consecutive whole numbers the square root lies between.,SQRT(8),2 and 3,"2, 3",The Number System
53,Determine which two consecutive whole numbers the square root lies between.,SQRT(66),8 and 9,"8, 9",The Number System
54,Determine which two consecutive whole numbers the square root lies between.,SQRT(93),9 and 10,"9, 10",The Number System
55,Determine which two consecutive whole numbers the square root lies between.,SQRT(94),9 and 10,"9, 10",The Number System
56,Determine which two consecutive whole numbers the square root lies between.,SQRT(17),4 and 5,"4, 5",The Number System
57,Determine which two consecutive whole numbers the square root lies between.,SQRT(87),9 and 10,"9, 10",The Number System
58,Determine which two consecutive whole numbers the square root lies between.,SQRT(23),4 and 5,"4, 5",The Number System
59,Determine which two consecutive whole numbers the square root lies between.,SQRT(5),2 and 3,"2, 3",The Number System
60,Determine which two consecutive whole numbers the square root lies between.,SQRT(22),4 and 5,"4, 5",The Number System
61,Determine which two consecutive whole numbers the square root lies between.,SQRT(67),8 and 9,"8, 9",The Number System
62,Determine which two consecutive whole numbers the square root lies between.,SQRT(98),9 and 10,"9, 10",The Number System
63,Determine which two consecutive whole numbers the square root lies between.,SQRT(35),5 and 6,"5, 6",The Number System
64,Determine which two consecutive whole numbers the square root lies between.,SQRT(10),3 and 4,"3, 4",The Number System
65,Determine which two consecutive whole numbers the square root lies between.,SQRT(21),4 and 5,"4, 5",The Number System
66,Determine which two consecutive whole numbers the square root lies between.,SQRT(29),5 and 6,"5, 6",The Number System
67,Determine which two consecutive whole numbers the square root lies between.,SQRT(90),9 and 10,"9, 10",The Number System
68,Determine which two consecutive whole numbers the square root lies between.,SQRT(34),5 and 6,"5, 6",The Number System
69,Determine which two consecutive whole numbers the square root lies between.,SQRT(53),7 and 8,"7, 8",The Number System
70,Determine which two consecutive whole numbers the square root lies between.,SQRT(71),8 and 9,"8, 9",The Number System
71,Solve each problem involving square and cube roots.,SQRT(22-6),4,,The Number System
72,Solve each problem involving square and cube roots.,SQRT(2+47),7,,The Number System
73,Solve each problem involving square and cube roots.,3ROOT(5*5*5),5,,The Number System
74,Solve each problem involving square and cube roots.,3ROOT(6*6*6),6,,The Number System
75,Solve each problem involving square and cube roots.,3ROOT(8*8*8),8,,The Number System
76,Solve each problem involving square and cube roots.,3ROOT(1019-19),10,,The Number System
77,Solve each problem involving square and cube roots.,SQRT(155-11),12,,The Number System
78,Solve each problem involving square and cube roots.,SQRT(9*9),9,,The Number System
79,Solve each problem involving square and cube roots.,SQRT(4+5),3,,The Number System
80,Solve each problem involving square and cube roots.,SQRT(37+63),10,,The Number System
81,Solve each problem involving square and cube roots.,3ROOT(1029/3),7,,The Number System
82,Solve each problem involving square and cube roots.,3ROOT(2916/4),9,,The Number System
83,Solve each problem involving square and cube roots.,SQRT(2*2),2,,The Number System
84,Solve each problem involving square and cube roots.,3ROOT(256/4),4,,The Number System
85,Solve each problem involving square and cube roots.,SQRT(256/4),8,,The Number System
86,Solve each problem involving square and cube roots.,SQRT(21+4),5,,The Number System
87,Rewrite the factors listed as an expression with a power of two.,5*5*23,5^2 × 23,,The Number System
88,Rewrite the factors listed as an expression with a power of two.,3*3*3*31,3^2 × 93,,The Number System
89,Rewrite the factors listed as an expression with a power of two.,3*3*53,3^2 × 53,,The Number System
90,Rewrite the factors listed as an expression with a power of two.,2*2*2*2*3*5,4^2 × 15,,The Number System
91,Rewrite the factors listed as an expression with a power of two.,2*2,2^2,,The Number System
92,Rewrite the factors listed as an expression with a power of two.,2*2*17,2^2 × 17,,The Number System
93,Rewrite the factors listed as an expression with a power of two.,2*2*2*3*17,2^2 x 102,,The Number System
94,Rewrite the factors listed as an expression with a power of two.,2*2*2*31,2^2 x 62,,The Number System
95,Rewrite the factors listed as an expression with a power of two.,11*11,11^2,,The Number System
96,Rewrite the factors listed as an expression with a power of two.,2*2*11*11,22^2,,The Number System
97,Rewrite the factors listed as an expression with a power of two.,2*2*2*2*53,4^2 x 53,,The Number System
98,Rewrite the factors listed as an expression with a power of two.,2*3*3*47,3^2 x 94,,The Number System
99,Rewrite the factors listed as an expression with a power of two.,2*2,2^2,,The Number System
100,Rewrite the factors listed as an expression with a power of two.,2*2*2*7*11,2^2 x 154,,The Number System
101,Rewrite the factors listed as an expression with a power of two.,2*2*2*2*3*3*3,12^2 x 3,,The Number System
102,Rewrite the factors listed as an expression with a power of two.,2*3*3*5,3^2 x 10,,The Number System
103,Rewrite the factors listed as an expression with a power of two.,2*3*3*29,3^2 x 58,,The Number System
104,Rewrite the factors listed as an expression with a power of two.,2*3*3*3*17,3^2 x 102,,The Number System
105,Rewrite the factors listed as an expression with a power of two.,2*3*3*31,3^2 x 62,,The Number System
106,Rewrite the factors listed as an expression with a power of two.,3*3*47,3^2 × 47,,The Number System
107,Simplify the radical.,SQRT(48),4*SQRT(3),,
108,Simplify the radical.,SQRT(56),2*SQRT(14),,The Number System
109,Simplify the radical.,SQRT(28),2*SQRT(7),,The Number System
110,Simplify the radical.,SQRT(80),4*SQRT(5),,The Number System
111,Simplify the radical.,SQRT(75),5*SQRT(3),,The Number System
112,Simplify the radical.,SQRT(27),3*SQRT(3),,The Number System
113,Simplify the radical.,SQRT(18),3*SQRT(2),,The Number System
114,Simplify the radical.,SQRT(92),2*SQRT(23),,The Number System
115,Simplify the radical.,SQRT(16),4,,The Number System
116,Simplify the radical.,SQRT(81),9,,The Number System
117,Simplify the radical.,SQRT(100),10,,The Number System
118,Simplify the radical.,SQRT(90),3*SQRT(10),,The Number System
119,Simplify the radical.,SQRT(45),3*SQRT(5),,The Number System
120,Simplify the radical.,SQRT(36),6,,The Number System
121,Simplify the radical.,SQRT(44),2*SQRT(11),,The Number System
122,Simplify the radical.,SQRT(54),3*SQRT(6),,The Number System
123,Simplify the radical.,SQRT(20),2*SQRT(5),,The Number System
124,Simplify the radical.,SQRT(40),2*SQRT(10),,The Number System
125,Simplify the radical.,SQRT(63),3*SQRT(7),,The Number System
126,Simplify the radical.,SQRT(49),7,,The Number System
127,Compute the value of the square root and round to the nearest tenth.,SQRT(65),8.1,,The Number System
128,Compute the value of the square root and round to the nearest tenth.,SQRT(8),2.8,,The Number System
129,Compute the value of the square root and round to the nearest tenth.,SQRT(66),8.1,,The Number System
130,Compute the value of the square root and round to the nearest tenth.,SQRT(93),9.6,,The Number System
131,Compute the value of the square root and round to the nearest tenth.,SQRT(94),9.7,,The Number System
132,Compute the value of the square root and round to the nearest tenth.,SQRT(17),4.1,,The Number System
133,Compute the value of the square root and round to the nearest tenth.,SQRT(87),9.3,,The Number System
134,Compute the value of the square root and round to the nearest tenth.,SQRT(23),4.8,,The Number System
135,Compute the value of the square root and round to the nearest tenth.,SQRT(5),2.2,,The Number System
136,Compute the value of the square root and round to the nearest tenth.,SQRT(22),4.7,,The Number System
137,Compute the value of the square root and round to the nearest tenth.,SQRT(67),8.2,,The Number System
138,Compute the value of the square root and round to the nearest tenth.,SQRT(98),9.9,,The Number System
139,Compute the value of the square root and round to the nearest tenth.,SQRT(35),5.9,,The Number System
140,Compute the value of the square root and round to the nearest tenth.,SQRT(10),3.2,,The Number System
141,Compute the value of the square root and round to the nearest tenth.,SQRT(21),4.6,,The Number System
142,Compute the value of the square root and round to the nearest tenth.,SQRT(64),8,,The Number System
143,Compute the value of the square root and round to the nearest tenth.,SQRT(90),9.5,,The Number System
144,Compute the value of the square root and round to the nearest tenth.,SQRT(34),5.8,,The Number System
145,Compute the value of the square root and round to the nearest tenth.,SQRT(53),7.3,,The Number System
146,Compute the value of the square root and round to the nearest tenth.,SQRT(71),8.4,,The Number System
147,Find the positive value of x.,x^(3)=1000^(-1),10,,The Number System
148,Find the positive value of x.,x^(-3)=8^(-1),2,,The Number System
149,Find the positive value of x.,x^(3)=27^(-1),3,,The Number System
150,Find the positive value of x.,x^(3)=64^(-1),4,,The Number System
151,Find the positive value of x.,x^(3)=125^(-1),5,,The Number System
152,Find the positive value of x.,x^(3)=216^(-1),6,,The Number System
153,Find the positive value of x.,x^(3)=343^(-1),7,,The Number System
154,Find the positive value of x.,x^(3)=512^(-1),8,,The Number System
155,Find the positive value of x.,x^(3)=729^(-1),9,,The Number System
156,Find the positive value of x.,x^(2)=1^(-1),1,,The Number System
157,Find the positive value of x.,x^(2)=4^(-1),2,,The Number System
158,Find the positive value of x.,x^(2)=9^(-1),3,,The Number System
159,Find the positive value of x.,x^(2)=16^(-1),4,,The Number System
160,Find the positive value of x.,x^(2)=25^(-1),5,,The Number System
161,Find the positive value of x.,x^(2)=36^(-1),6,,The Number System
162,Find the positive value of x.,x^(2)=49^(-1),7,,The Number System
163,Find the positive value of x.,x^(2)=64^(-1),8,,The Number System
164,Find the positive value of x.,x^(2)=81^(-1),9,,The Number System
165,Find the positive value of x.,x^(2)=100^(-1),10,,The Number System
166,Use the law of exponents to rewrite each problem.,3^0,1,,Expressions and Equations
167,Use the law of exponents to rewrite each problem.,3^3 * 3^(-5),3^(-2),,Expressions and Equations
168,Use the law of exponents to rewrite each problem.,(1/7)^3,1/(7^3),,Expressions and Equations
169,Use the law of exponents to rewrite each problem.,(7 × 2)^2,7^2 × 2^2,,Expressions and Equations
170,Use the law of exponents to rewrite each problem.,(8 × 3)^9,8^9 × 3^9,,Expressions and Equations
171,Use the law of exponents to rewrite each problem.,(1/4)^8,1/(4^8),,Expressions and Equations
172,Use the law of exponents to rewrite each problem.,8^0,1,,Expressions and Equations
173,Use the law of exponents to rewrite each problem.,7^8 * 7^5,7^13,,Expressions and Equations
174,Use the law of exponents to rewrite each problem.,5^3 * 5^2,5^5,,Expressions and Equations
175,Use the law of exponents to rewrite each problem.,4^(-8),1/(4^8),,Expressions and Equations
176,Use the law of exponents to rewrite each problem.,7^1,7,,Expressions and Equations
177,Use the law of exponents to rewrite each problem.,(8 * 6)^9,8^9 × 6^9,,Expressions and Equations
178,Use the law of exponents to rewrite each problem.,4^8 * 4^(-7),4^1,,Expressions and Equations
179,Use the law of exponents to rewrite each problem.,4^4 * 4^3,4^7,,Expressions and Equations
180,Use the law of exponents to rewrite each problem.,(8^4)^3,8^12,,Expressions and Equations
181,Use the law of exponents to rewrite each problem.,6^3 * 6^(-9),6^(-6),,Expressions and Equations
182,Use the law of exponents to rewrite each problem.,3^0,1,,Expressions and Equations
183,Use the law of exponents to rewrite each problem.,6^1,6,,Expressions and Equations
184,Use the law of exponents to rewrite each problem.,8^(-5),1/(8^5),,Expressions and Equations
185,Use the law of exponents to rewrite each problem.,(5^3)^5,5^15,,Expressions and Equations
186,Solve each problem using the laws of exponents.,(1/3)^2,1/9,,Expressions and Equations
187,Solve each problem using the laws of exponents.,3^(-2) * 3^3,3,,Expressions and Equations
188,Solve each problem using the laws of exponents.,3^0,1,,Expressions and Equations
189,Solve each problem using the laws of exponents.,2^(-2),1/4,,Expressions and Equations
190,Solve each problem using the laws of exponents.,2^1,2,,Expressions and Equations
191,Solve each problem using the laws of exponents.,(2 × 3)^2,36,,Expressions and Equations
192,Solve each problem using the laws of exponents.,3^2 * 3^3,243,,Expressions and Equations
193,Solve each problem using the laws of exponents.,(3^2)^4,"6,561",,Expressions and Equations
194,Solve each problem using the laws of exponents.,2^3 * 2^(-2),2,,Expressions and Equations
195,Which equation has only 6 as a possible value of x?,A. (x^3) = 216  B. (x^2) = 18  C. (x^3) = 36  D. (x^2) = 216,A,,Expressions and Equations
196,Which equation has only 9 as a possible value of x?,A. (x^2) = 81  B. (x^2) = 729  C. (x^3) = 729  D. (x^3) = 27,C,,Expressions and Equations
197,Which equation has only 5 as a possible value of x?,A. (x^3) = 125  B. (x^3) = 15  C. (x^2) = 125  D. (x^2) = 25,A,,Expressions and Equations
198,Which equation has both 4 and -4 as possible values of x?,A. (x^3) = 16  B. (x^2) = 8  C. (x^2) = 16  D. (x^3) = 8,C,,Expressions and Equations
199,Which equation has only 10 as a possible value of x?,A. (x^2) = 1000  B. (x^3) = 30  C. (x^2) = 30  D. (x^3) = 1000,D,,Expressions and Equations
200,Which equation has both 7 and -7 as possible values of x?,A. (x^3) = 14  B. (x^3) = 343  C. (x^2) = 343  D. (x^2) = 49,D,,Expressions and Equations
201,Which equation has both 10 and -10 as possible values of x?,A. (x^3) = 100  B. (x^2) = 100  C. (x^2) = 1000  D. (x^2) = 20,B,,Expressions and Equations
202,Which equation has both 6 and -6 as possible values of x?,A. (x^3) = 12  B. (x^3) = 36  C. (x^2) = 12  D. (x^2) = 36,D,,Expressions and Equations
203,Which equation has only 8 as a possible value of x?,A. (x^3) = 512  B. (x^2) = 512  C. (x^2) = 24  D. (x^2) = 64,A,,Expressions and Equations
204,Which equation has both 9 and -9 as possible values of x?,A. (x^2) = 18  B. (x^3) = 729  C. (x^3) = 18  D. (x^2) = 81,D,,Expressions and Equations
205,Find the positive value of x.,(x^2) = 4,2,,Expressions and Equations
206,Find the positive value of x.,(x^2) = 9,3,,Expressions and Equations
207,Find the positive value of x.,(x^3) = 125,5,,Expressions and Equations
208,Find the positive value of x.,(x^2) = 144,12,,Expressions and Equations
209,Find the positive value of x.,(x^2) = 49,7,,Expressions and Equations
210,Find the positive value of x.,(x^3) = 64,4,,Expressions and Equations
211,Find the positive value of x.,(x^2) = 81,9,,Expressions and Equations
212,Find the positive value of x.,(x^2) = 25,5,,Expressions and Equations
213,Find the positive value of x.,(x^3) = 1,1,,Expressions and Equations
214,Find the positive value of x.,(x^3) = 1000,10,,Expressions and Equations
215,Find the positive value of x.,(x^3) = 8,2,,Expressions and Equations
216,Find the positive value of x.,(x^3) = 512,8,,Expressions and Equations
217,Find the positive value of x.,(x^2) = 64,8,,Expressions and Equations
218,Find the positive value of x.,(x^3) = 343,7,,Expressions and Equations
219,Find the positive value of x.,(x^3) = 216,6,,Expressions and Equations
220,Find the positive value of x.,(x^2) = 121,11,,Expressions and Equations
221,Find the positive value of x.,(x^2) = 100,10,,Expressions and Equations
222,Find the positive value of x.,(x^3) = 729,9,,Expressions and Equations
223,Find the positive value of x.,(x^2) = 36,6,,Expressions and Equations
224,Find the positive value of x.,(x^2) = 16,4,,Expressions and Equations
225,Find the positive value of x.,(x^3) = 27,3,,Expressions and Equations
226,Solve each problem.,SQRT(16),4,,Expressions and Equations
227,Solve each problem.,SQRT(4),2,,Expressions and Equations
228,Solve each problem.,SQRT(25),5,,Expressions and Equations
229,Solve each problem.,3ROOT(64),4,,Expressions and Equations
230,Solve each problem.,3ROOT(125),5,,Expressions and Equations
231,Solve each problem.,3ROOT(343),7,,Expressions and Equations
232,Solve each problem.,3ROOT(729),9,,Expressions and Equations
233,Solve each problem.,SQRT(100),10,,Expressions and Equations
234,Solve each problem.,SQRT(49),7,,Expressions and Equations
235,Solve each problem.,SQRT(1),1,,Expressions and Equations
236,Solve each problem.,SQRT(64),8,,Expressions and Equations
237,Solve each problem.,3ROOT(216),6,,Expressions and Equations
238,Solve each problem.,3ROOT(512),8,,Expressions and Equations
239,Solve each problem.,3ROOT(1000),10,,Expressions and Equations
240,Solve each problem.,3ROOT(27),3,,Expressions and Equations
241,Solve each problem.,SQRT(36),6,,Expressions and Equations
242,Solve each problem.,SQRT(9),3,,Expressions and Equations
243,Solve each problem.,SQRT(81),9,,Expressions and Equations
244,Solve each problem.,3ROOT(8),2,,Expressions and Equations
245,Solve each problem.,3ROOT(1),1,,Expressions and Equations
246,Rewrite each number as an expression with the power of 10.,"800,000,000",8 * 10^8,,Expressions and Equations
247,Rewrite each number as an expression with the power of 10.,"50,000,000,000",5 * 10^10,,Expressions and Equations
248,Rewrite each number as an expression with the power of 10.,"8,000,000",8 * 10^6,,Expressions and Equations
249,Rewrite each number as an expression with the power of 10.,50,5 * 10^1,,Expressions and Equations
250,Rewrite each number as an expression with the power of 10.,"10,000,000,000",1 * 10^10,,Expressions and Equations
251,Rewrite each number as an expression with the power of 10.,"5,000",5 * 10^3,,Expressions and Equations
252,Rewrite each number as an expression with the power of 10.,"600,000,000,000",6 * 10^11,,Expressions and Equations
253,Rewrite each number as an expression with the power of 10.,"3,000",3 * 10^3,,Expressions and Equations
254,Rewrite each number as an expression with the power of 10.,"400,000,000",4 * 10^8,,Expressions and Equations
255,Rewrite each number as an expression with the power of 10.,"100,000,000",1 * 10^8,,Expressions and Equations
256,Rewrite each number as an expression with the power of 10.,0.05,5 * 10^(-2),,Expressions and Equations
257,Rewrite each number as an expression with the power of 10.,0.00009,9 * 10^(-5),,Expressions and Equations
258,Rewrite each number as an expression with the power of 10.,0.7,7 * 10^(-1),,Expressions and Equations
259,Rewrite each number as an expression with the power of 10.,0,4 * 10^(-11),,Expressions and Equations
260,Rewrite each number as an expression with the power of 10.,0.000009,9 * 10^(-6),,Expressions and Equations
261,Rewrite each number as an expression with the power of 10.,0.00000006,6 * 10^(-8),,Expressions and Equations
262,Rewrite each number as an expression with the power of 10.,0.0000001,1 * 10^(-7),,Expressions and Equations
263,Rewrite each number as an expression with the power of 10.,0,9 * 10^(-12),,Expressions and Equations
264,Rewrite each number as an expression with the power of 10.,0.000000009,9 * 10^(-9),,Expressions and Equations
265,Rewrite each number as an expression with the power of 10.,0.00000009,9 * 10^(-8),,Expressions and Equations
266,Solve each problem. Answer as a decimal (if necessary).,(3 * 10^6) is ____ * the value of (9 * 10^8),0.00333,,Expressions and Equations
267,Solve each problem. Answer as a decimal (if necessary).,(3 * 10^3) is ____ * the value of (7 * 10^5),0.00429,,Expressions and Equations
268,Solve each problem. Answer as a decimal (if necessary).,(7 * 10^3) is ____ * the value of (3 * 10^6),0.002333,,Expressions and Equations
269,Solve each problem. Answer as a decimal (if necessary).,(7 * 10^2) is ____ * the value of (2 * 10^5),0.0035,,Expressions and Equations
270,Solve each problem. Answer as a decimal (if necessary).,(8 * 10^9) is ____ * the value of (3 * 10^6),"2,667",,Expressions and Equations
271,Solve each problem. Answer as a decimal (if necessary).,(4 * 10^8) is ____ * the value of (7 * 10^2),"571,000",,Expressions and Equations
272,Solve each problem. Answer as a decimal (if necessary).,(8 * 10^5) is ____ * the value of (4 * 10^3),200,,Expressions and Equations
